DATE & TIME,LATITUDE,LONGITUDE,DEPTH (KM),MAGNITUDE,LOCATION,DATE,TIME,CATEGORY,AREA,PROVINCE
06 January 2023 - 07:19 AM,9.36,123.87,24.0,2.3,026 km N 71° E of Enrique Villanueva (Siquijor),06 January 2023,07:19 AM,Slightly Felt,Enrique Villanueva,Siquijor
06 January 2023 - 06:34 AM,10.3,121.86,22.0,2.5,016 km S 26° W of Anini-y (Antique),06 January 2023,06:34 AM,Slightly Felt,Anini-y,Antique
06 January 2023 - 05:45 AM,7.65,126.9,1.0,2.5,038 km N 77° E of Baganga (Davao Oriental),06 January 2023,05:45 AM,Slightly Felt,Baganga,Davao Oriental
06 January 2023 - 05:20 AM,6.26,126.3,23.0,2.4,050 km S 30° E of Governor Generoso (Davao Oriental),06 January 2023,05:20 AM,Slightly Felt,Governor Generoso,Davao Oriental
06 January 2023 - 04:51 AM,5.87,126.59,63.0,2.6,103 km S 33° E of Governor Generoso (Davao Oriental),06 January 2023,04:51 AM,Slightly Felt,Governor Generoso,Davao Oriental
06 January 2023 - 04:49 AM,12.69,119.94,38.0,2.3,062 km N 01° E of Busuanga (Palawan),06 January 2023,04:49 AM,Slightly Felt,Busuanga,Palawan
06 January 2023 - 03:58 AM,18.4,120.8,5.0,2.4,013 km S 57° W of Adams (Ilocos Norte),06 January 2023,03:58 AM,Slightly Felt,Adams,Ilocos Norte
06 January 2023 - 01:16 AM,9.69,122.06,17.0,3.3,042 km S 78° W of City Of Sipalay (Negros Occidental),06 January 2023,01:16 AM,Weak,City Of Sipalay,Negros Occidental
06 January 2023 - 12:17 AM,17.45,120.44,3.0,2.2,004 km S 06° E of Santa (Ilocos Sur),06 January 2023,12:17 AM,Slightly Felt,Santa,Ilocos Sur
06 January 2023 - 12:07 AM,17.55,120.44,19.0,2.5,006 km S 88° E of Caoayan (Ilocos Sur),06 January 2023,12:07 AM,Slightly Felt,Caoayan,Ilocos Sur
06 January 2023 - 12:02 AM,7.1,122.42,3.0,2.0,045 km S 62° E of Sibuco (Zamboanga Del Norte),06 January 2023,12:02 AM,Slightly Felt,Sibuco,Zamboanga Del Norte
05 January 2023 - 11:04 PM,14.02,120.48,137.0,2.1,017 km S 69° W of Nasugbu (Batangas),05 January 2023,11:04 PM,Slightly Felt,Nasugbu,Batangas
05 January 2023 - 10:53 PM,8.31,126.53,27.0,2.2,022 km S 73° E of Hinatuan (Surigao Del Sur),05 January 2023,10:53 PM,Slightly Felt,Hinatuan,Surigao Del Sur
05 January 2023 - 10:37 PM,16.96,121.52,8.0,1.5,005 km N 35° E of Alfonso Lista (Ifugao),05 January 2023,10:37 PM,Scarcely Perceptible,Alfonso Lista,Ifugao
05 January 2023 - 10:20 PM,18.19,121.18,7.0,2.2,016 km S 65° E of Calanasan (Apayao),05 January 2023,10:20 PM,Slightly Felt,Calanasan,Apayao
05 January 2023 - 09:44 PM,17.55,122.6,31.0,2.9,040 km N 52° E of Divilacan (Isabela),05 January 2023,09:44 PM,Slightly Felt,Divilacan,Isabela
05 January 2023 - 09:35 PM,13.84,120.6,118.0,1.7,003 km N 82° W of Calatagan (Batangas),05 January 2023,09:35 PM,Scarcely Perceptible,Calatagan,Batangas
05 January 2023 - 07:30 PM,15.03,121.74,1.0,2.0,013 km N 38° W of Panukulan (Quezon),05 January 2023,07:30 PM,Slightly Felt,Panukulan,Quezon
05 January 2023 - 06:24 PM,20.44,121.54,33.0,2.5,038 km N 71° W of Sabtang (Batanes),05 January 2023,06:24 PM,Slightly Felt,Sabtang,Batanes
05 January 2023 - 05:47 PM,6.27,126.09,56.0,3.2,045 km N 79° E of Don Marcelino (Davao Occidental),05 January 2023,05:47 PM,Weak,Don Marcelino,Davao Occidental
05 January 2023 - 03:06 PM,8.89,126.36,31.0,1.9,007 km S 67° E of Cagwait (Surigao Del Sur),05 January 2023,03:06 PM,Scarcely Perceptible,Cagwait,Surigao Del Sur
05 January 2023 - 01:28 PM,6.35,126.54,72.0,2.7,061 km S 57° E of Governor Generoso (Davao Oriental),05 January 2023,01:28 PM,Slightly Felt,Governor Generoso,Davao Oriental
05 January 2023 - 01:05 PM,17.77,120.77,8.0,2.1,009 km N 52° E of Lagayan (Abra),05 January 2023,01:05 PM,Slightly Felt,Lagayan,Abra
05 January 2023 - 10:06 AM,14.43,122.08,7.0,1.6,004 km N 81° E of Balesin Island (Polillo) (Quezon),05 January 2023,10:06 AM,Scarcely Perceptible,Balesin Island,Polillo
05 January 2023 - 07:25 AM,6.28,125.96,125.0,2.7,031 km N 73° E of Don Marcelino (Davao Occidental),05 January 2023,07:25 AM,Slightly Felt,Don Marcelino,Davao Occidental
05 January 2023 - 06:41 AM,9.58,125.98,1.0,3.1,005 km S 18° E of Socorro (Surigao Del Norte),05 January 2023,06:41 AM,Weak,Socorro,Surigao Del Norte
05 January 2023 - 06:19 AM,10.34,125.1,27.0,2.0,007 km N 45° E of Libagon (Southern Leyte),05 January 2023,06:19 AM,Slightly Felt,Libagon,Southern Leyte
05 January 2023 - 05:44 AM,10.09,126.2,32.0,1.7,016 km N 59° E of Burgos (Surigao Del Norte),05 January 2023,05:44 AM,Scarcely Perceptible,Burgos,Surigao Del Norte
05 January 2023 - 02:39 AM,7.64,124.85,7.0,2.5,008 km N 55° W of Kadingilan (Bukidnon),05 January 2023,02:39 AM,Slightly Felt,Kadingilan,Bukidnon
